Country,State lgd code,State,Year,YearCode,Households that applied for a job card (UOM:Number) |Scaling Factor:1,Job cards issued (UOM:Number) |Scaling Factor:1,Job cards issued for scheduled caste (UOM:Number) |Scaling Factor:1,Job cards issued for scheduled tribes (UOM:Number) |Scaling Factor:1,Job cards issued for non scheduled tribes or scheduled caste (UOM:Number) |Scaling Factor:1,Households that demanded work (UOM:Number) |Scaling Factor:1,Persons who demanded work (UOM:Number) |Scaling Factor:1,Households that were allotted work (UOM:Number) |Scaling Factor:1,Persons that were allotted work (UOM:Number) |Scaling Factor:1,Muster rolls filled (UOM:Number) |Scaling Factor:1,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Persons with disability (UOM:Number) |Scaling Factor:1,Non scheduled tribes or scheduled caste households that worked (UOM:Number) |Scaling Factor:1,Total person days worked by non scheduled tribes or scheduled caste persons (UOM:Number) |Scaling Factor:1,Scheduled caste households that worked (UOM:Number) |Scaling Factor:1,Total person days worked scheduled caste persons (UOM:Number) |Scaling Factor:1,Scheduled tribe households that worked (UOM:Number) |Scaling Factor:1,Total person days worked scheduled tribe persons (UOM:Number) |Scaling Factor:1,Households that worked on land reform or indira awas yojana (UOM:Number) |Scaling Factor:1,Total person days worked by women (UOM:Number) |Scaling Factor:1,Total person days (UOM:Number) |Scaling Factor:1,Scheduled caste households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Scheduled tribe households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Labour expenditure that has been disbursed (UOM:INR(IndianRupees)) |Scaling Factor:100000,Material expenditure that has been disbursed (UOM:INR(IndianRupees)) |Scaling Factor:100000,Labour expenditure both disbursed and pending (UOM:INR(IndianRupees)) |Scaling Factor:100000,Material expenditure both disbursed and pending (UOM:INR(IndianRupees)) |Scaling Factor:100000,Amount sanctioned (UOM:INR(IndianRupees)) |Scaling Factor:100000,Works under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Total bank accounts (UOM:Number) |Scaling Factor:1,Individual bank accounts (UOM:Number) |Scaling Factor:1,Joint bank accounts (UOM:Number) |Scaling Factor:1,Amount disbursed to bank accounts (UOM:INR(IndianRupees)) |Scaling Factor:1,Post office accounts (UOM:Number) |Scaling Factor:1,Individual post office accounts (UOM:Number) |Scaling Factor:1,Joint post office accounts (UOM:Number) |Scaling Factor:1,Amount disbursed to post office accounts (UOM:INR(IndianRupees)) |Scaling Factor:1
India,27,Maharashtra,"Financial Year (Apr - Mar), 2016",2016,8242530.00000000000000000000,8037255.00000000000000000000,792321.00000000000000000000,980912.00000000000000000000,6264022.00000000000000000000,1556665.00000000000000000000,3089579.00000000000000000000,1554809.00000000000000000000,3085594.00000000000000000000,1150276.00000000000000000000,1382655.00000000000000000000,2626997.00000000000000000000,164503.00000000000000000000,18058.00000000000000000000,1011379.00000000000000000000,50170660.00000000000000000000,131822.00000000000000000000,6248918.00000000000000000000,239454.00000000000000000000,12628844.00000000000000000000,38338.00000000000000000000,30841721.00000000000000000000,69048422.00000000000000000000,13741.00000000000000000000,31316.00000000000000000000,130254.71000000000000000000000,62447.48000000000000000000000,131426.34000000000000000000000,63341.18000000000000000000000,1847629623.38000000000000000000000,3049650.00000000000000000000,5121877.00000000000000000000,4663924.00000000000000000000,457953.00000000000000000000,11371947550.00000000000000000000,1476048.00000000000000000000,1439081.00000000000000000000,36967.00000000000000000000,1165436785.00000000000000000000
India,14,Manipur,"Financial Year (Apr - Mar), 2016",2016,548507.00000000000000000000,546219.00000000000000000000,15463.00000000000000000000,246079.00000000000000000000,284677.00000000000000000000,519710.00000000000000000000,555055.00000000000000000000,518787.00000000000000000000,553891.00000000000000000000,124033.00000000000000000000,515717.00000000000000000000,548329.00000000000000000000,3.00000000000000000000,1150.00000000000000000000,257586.00000000000000000000,6503996.00000000000000000000,14832.00000000000000000000,359455.00000000000000000000,243299.00000000000000000000,5039884.00000000000000000000,655.00000000000000000000,4968330.00000000000000000000,11903335.00000000000000000000,0.00000000000000000000,0.00000000000000000000,23313.40000000000000000000000,11912.51000000000000000000000,23424.43000000000000000000000,11935.56000000000000000000000,101912962.72000000000000000000000,122902.00000000000000000000,391437.00000000000000000000,377347.00000000000000000000,14090.00000000000000000000,1331621967.00000000000000000000,31996.00000000000000000000,27335.00000000000000000000,4661.00000000000000000000,106380.00000000000000000000
India,17,Meghalaya,"Financial Year (Apr - Mar), 2016",2016,401141.00000000000000000000,399503.00000000000000000000,3117.00000000000000000000,373033.00000000000000000000,23353.00000000000000000000,318858.00000000000000000000,429660.00000000000000000000,318718.00000000000000000000,429491.00000000000000000000,202197.00000000000000000000,312294.00000000000000000000,418544.00000000000000000000,74579.00000000000000000000,294.00000000000000000000,18763.00000000000000000000,1187521.00000000000000000000,2432.00000000000000000000,160231.00000000000000000000,291099.00000000000000000000,20074996.00000000000000000000,3039.00000000000000000000,9988914.00000000000000000000,21422748.00000000000000000000,411.00000000000000000000,71600.00000000000000000000,39990.61000000000000000000000,19414.79000000000000000000000,40004.23000000000000000000000,19435.37000000000000000000000,16029095.59000000000000000000000,123648.00000000000000000000,289021.00000000000000000000,232018.00000000000000000000,57003.00000000000000000000,2091199807.00000000000000000000,12259.00000000000000000000,11460.00000000000000000000,799.00000000000000000000,24569944.00000000000000000000
India,15,Mizoram,"Financial Year (Apr - Mar), 2016",2016,190475.00000000000000000000,190461.00000000000000000000,39.00000000000000000000,189279.00000000000000000000,1143.00000000000000000000,189353.00000000000000000000,214471.00000000000000000000,189278.00000000000000000000,214388.00000000000000000000,87614.00000000000000000000,189231.00000000000000000000,214276.00000000000000000000,56528.00000000000000000000,109.00000000000000000000,1019.00000000000000000000,88008.00000000000000000000,37.00000000000000000000,3016.00000000000000000000,188175.00000000000000000000,16731942.00000000000000000000,3521.00000000000000000000,6015148.00000000000000000000,16822966.00000000000000000000,8.00000000000000000000,56277.00000000000000000000,12544.30000000000000000000000,1251.75000000000000000000000,31624.55000000000000000000000,1253.32000000000000000000000,2662907.15000000000000000000000,76863.00000000000000000000,210463.00000000000000000000,148042.00000000000000000000,62421.00000000000000000000,1158145204.00000000000000000000,3.00000000000000000000,3.00000000000000000000,0.00000000000000000000,5264.00000000000000000000
India,13,Nagaland,"Financial Year (Apr - Mar), 2016",2016,429713.00000000000000000000,429515.00000000000000000000,3640.00000000000000000000,410666.00000000000000000000,15209.00000000000000000000,421432.00000000000000000000,519981.00000000000000000000,421037.00000000000000000000,519274.00000000000000000000,43899.00000000000000000000,418351.00000000000000000000,515245.00000000000000000000,182.00000000000000000000,122.00000000000000000000,14980.00000000000000000000,977759.00000000000000000000,3626.00000000000000000000,205309.00000000000000000000,399745.00000000000000000000,27887637.00000000000000000000,264.00000000000000000000,8627552.00000000000000000000,29070705.00000000000000000000,0.00000000000000000000,177.00000000000000000000,42995.70000000000000000000000,15495.84000000000000000000000,43014.52000000000000000000000,15525.85000000000000000000000,14798144.43000000000000000000000,94244.00000000000000000000,83570.00000000000000000000,82835.00000000000000000000,735.00000000000000000000,584855519.00000000000000000000,6.00000000000000000000,6.00000000000000000000,0.00000000000000000000,43684.00000000000000000000
India,21,Odisha,"Financial Year (Apr - Mar), 2016",2016,6433430.00000000000000000000,6419111.00000000000000000000,1171286.00000000000000000000,1764352.00000000000000000000,3483473.00000000000000000000,2355178.00000000000000000000,4063096.00000000000000000000,2352096.00000000000000000000,4056659.00000000000000000000,2076598.00000000000000000000,2031118.00000000000000000000,3282338.00000000000000000000,35665.00000000000000000000,6715.00000000000000000000,978378.00000000000000000000,35611553.00000000000000000000,344803.00000000000000000000,12435716.00000000000000000000,707937.00000000000000000000,29299986.00000000000000000000,37791.00000000000000000000,30799162.00000000000000000000,77347255.00000000000000000000,4969.00000000000000000000,17067.00000000000000000000,141371.33000000000000000000000,62628.35000000000000000000000,143037.86000000000000000000000,63200.66000000000000000000000,228096688.04000000000000000000000,3834570.00000000000000000000,5940563.00000000000000000000,5350526.00000000000000000000,590037.00000000000000000000,11941981295.00000000000000000000,1015508.00000000000000000000,731426.00000000000000000000,284082.00000000000000000000,1099041023.00000000000000000000
India,34,Puducherry,"Financial Year (Apr - Mar), 2016",2016,70057.00000000000000000000,68897.00000000000000000000,19250.00000000000000000000,87.00000000000000000000,49560.00000000000000000000,34883.00000000000000000000,39717.00000000000000000000,34882.00000000000000000000,39716.00000000000000000000,1509.00000000000000000000,31019.00000000000000000000,33563.00000000000000000000,0.00000000000000000000,29.00000000000000000000,20213.00000000000000000000,342190.00000000000000000000,10776.00000000000000000000,194757.00000000000000000000,30.00000000000000000000,446.00000000000000000000,23.00000000000000000000,461049.00000000000000000000,537393.00000000000000000000,0.00000000000000000000,0.00000000000000000000,943.77000000000000000000000,45.22000000000000000000000,943.93000000000000000000000,45.22000000000000000000000,1739.04000000000000000000000,3926.00000000000000000000,80401.00000000000000000000,79936.00000000000000000000,465.00000000000000000000,93296586.00000000000000000000,292.00000000000000000000,292.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,3,Punjab,"Financial Year (Apr - Mar), 2016",2016,1299715.00000000000000000000,1285301.00000000000000000000,938830.00000000000000000000,311.00000000000000000000,346160.00000000000000000000,610775.00000000000000000000,786105.00000000000000000000,610078.00000000000000000000,785020.00000000000000000000,140816.00000000000000000000,536372.00000000000000000000,650894.00000000000000000000,3511.00000000000000000000,986.00000000000000000000,122732.00000000000000000000,3837779.00000000000000000000,413546.00000000000000000000,11932986.00000000000000000000,94.00000000000000000000,2544.00000000000000000000,2101.00000000000000000000,9459355.00000000000000000000,15773309.00000000000000000000,2443.00000000000000000000,1.00000000000000000000,44035.32000000000000000000000,6971.08000000000000000000000,44133.10000000000000000000000,7650.45000000000000000000000,42548578.13000000000000000000000,304333.00000000000000000000,1448393.00000000000000000000,1342897.00000000000000000000,105496.00000000000000000000,4296898928.00000000000000000000,52679.00000000000000000000,48732.00000000000000000000,3947.00000000000000000000,954851.00000000000000000000
India,8,Rajasthan,"Financial Year (Apr - Mar), 2016",2016,9821261.00000000000000000000,9729774.00000000000000000000,1852503.00000000000000000000,1804119.00000000000000000000,6073152.00000000000000000000,5098508.00000000000000000000,7731093.00000000000000000000,5096387.00000000000000000000,7726425.00000000000000000000,3285697.00000000000000000000,4634493.00000000000000000000,6652485.00000000000000000000,427233.00000000000000000000,10447.00000000000000000000,2638990.00000000000000000000,145812025.00000000000000000000,975668.00000000000000000000,55447293.00000000000000000000,1019835.00000000000000000000,58409007.00000000000000000000,7686.00000000000000000000,174065209.00000000000000000000,259668325.00000000000000000000,80963.00000000000000000000,118644.00000000000000000000,337688.59000000000000000000000,124379.44000000000000000000000,338060.19000000000000000000000,124805.46000000000000000000000,263244169.75000000000000000000000,3612116.00000000000000000000,11080620.00000000000000000000,10602687.00000000000000000000,477933.00000000000000000000,32799490277.00000000000000000000,1327603.00000000000000000000,1278538.00000000000000000000,49065.00000000000000000000,18228187.00000000000000000000
India,11,Sikkim,"Financial Year (Apr - Mar), 2016",2016,80496.00000000000000000000,80330.00000000000000000000,3676.00000000000000000000,29754.00000000000000000000,46900.00000000000000000000,69908.00000000000000000000,87209.00000000000000000000,69898.00000000000000000000,87192.00000000000000000000,18105.00000000000000000000,68098.00000000000000000000,83265.00000000000000000000,8401.00000000000000000000,159.00000000000000000000,39625.00000000000000000000,2659316.00000000000000000000,2989.00000000000000000000,192559.00000000000000000000,25484.00000000000000000000,1759912.00000000000000000000,205.00000000000000000000,2207504.00000000000000000000,4611787.00000000000000000000,302.00000000000000000000,3580.00000000000000000000,8296.59000000000000000000000,4103.46000000000000000000000,8303.64000000000000000000000,4197.36000000000000000000000,47495904.85000000000000000000000,42620.00000000000000000000,98110.00000000000000000000,97888.00000000000000000000,222.00000000000000000000,745889757.00000000000000000000,1352.00000000000000000000,1291.00000000000000000000,61.00000000000000000000,2183933.00000000000000000000
India,33,Tamil Nadu,"Financial Year (Apr - Mar), 2016",2016,8010977.00000000000000000000,7904990.00000000000000000000,2165397.00000000000000000000,118569.00000000000000000000,5621024.00000000000000000000,6295522.00000000000000000000,7768980.00000000000000000000,6295196.00000000000000000000,7768298.00000000000000000000,5833334.00000000000000000000,6261527.00000000000000000000,7616367.00000000000000000000,1320733.00000000000000000000,66320.00000000000000000000,4437196.00000000000000000000,281830032.00000000000000000000,1740652.00000000000000000000,113669701.00000000000000000000,83679.00000000000000000000,4442696.00000000000000000000,64846.00000000000000000000,342676896.00000000000000000000,399942429.00000000000000000000,387778.00000000000000000000,10047.00000000000000000000,444765.93000000000000000000000,87810.32000000000000000000000,445517.77000000000000000000000,87955.78000000000000000000000,313307400.85000000000000000000000,2933194.00000000000000000000,9243162.00000000000000000000,9240892.00000000000000000000,2270.00000000000000000000,43929431764.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,36,Telangana,"Financial Year (Apr - Mar), 2016",2016,3378855.43088262967435774240,3540223.67052523057335003296,866832.07482373920494411034,296808.81224032737367547254,2376582.78346116399473045008,1585855.08037716383921333530,2915717.18083573528768169416,1647512.36572702565736794300,2889904.58804378209954786848,2757633.05241858915529377326,1576512.09947262439811304590,2724994.84728587915429694516,240063.07239144894589785156,33587.98869676971636217040,1082598.06963525530156124450,56624872.33760671174692129542,389144.98980658328080580540,19005694.70512525558839222680,161475.62136157722930250920,9419021.40028924066274477852,342402.04133173327660992530,49536819.69260996502755504412,85049588.44302120799805830074,46812.94885933715174991704,33292.08662779250656425330,108909.89346284227206781972020,66368.85173465053412744605740,109110.37435693266331593857440,66403.70196294224159189724480,1491784.91726494732957111418760,5129881.59480507018748773972,2477883.09791705980661150752,2477706.79822281604245218908,176.29969424376415931844,8350191005.00818842082192698508,747945.65894250415788446654,747945.24509345663731132260,0.41384904752057314394,1794710464.77872209661821204888
India,38,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016",2016,8157.00000000000000000000,3549.00000000000000000000,1.00000000000000000000,3496.00000000000000000000,52.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,,,,,,2181.00000000000000000000,2172.00000000000000000000,9.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
